Printer_Name,Consumable_Sku
Brother HL-L2340DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother DCP-L2540DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother HL-L2380DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother HL-L2320D,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother MFC-L2700DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother MFC-L2740DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother MFC-L2720DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother DCP-L2520DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother DCP-L2500D,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother DCP-L2560DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother HL-L2305W,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother MFC-L2705DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother MFC-L2707DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother MFC-L2685DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother MFC-L2680W,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother HL-L2315DW,"CPT/TN660J,CPT/DR630,CPT/TN660"
Brother HL-L2350DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother HL-L2390DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother HL-L2395DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother HL-L2370DW,"CPT/TN730,CPT/TN770,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother MFC-L2710DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother MFC-L2750DW,"CPT/TN730,CPT/TN770,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother HL-L2370DW XL,"CPT/TN730,CPT/TN770,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother MFC-L2750DW XL,"CPT/TN730,CPT/TN770,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother DCP-L2550DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother MFC-L2730DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother MFC-L2717DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother MFC-L2690DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
